AverageFloorArea,Year/Quarter,Property Type,EnergyUseAveragePerDwelling,CarbonDioxideEmissionsAveragePerDwelling,LightingCostAveragePerDwelling,HeatingCostAveragePerDwelling,HotWaterCostAveragePerDwelling
76.0,4,2,247.0,2.0,58.0,414.0,114.0
76.0,4,4,279.4537037037037,3.2685185185185186,73.44444444444444,610.5,133.3148148148148
76.0,4,5,234.0,3.3333333333333335,62.333333333333336,756.3333333333334,161.66666666666666
77.0,1,1,316.8047337278106,3.757396449704142,72.79289940828403,702.8579881656805,140.6153846153846
77.0,1,3,306.0,4.0,78.0,746.0,107.0
77.0,1,4,288.64383561643837,3.356164383561644,75.78082191780823,639.4109589041096,135.73972602739727
77.0,1,5,286.3333333333333,3.3333333333333335,76.66666666666667,723.0,137.66666666666666
77.0,2,1,306.1397058823529,3.610294117647059,72.0220588235294,687.6911764705883,137.64705882352942
77.0,2,4,286.82954545454544,3.4204545454545454,73.0340909090909,623.6590909090909,132.0909090909091
77.0,3,1,314.06299212598424,3.826771653543307,72.03149606299213,700.2755905511812,138.43307086614172
77.0,3,2,221.0,3.0,80.0,515.0,157.0
77.0,3,4,284.6463414634146,3.426829268292683,75.8170731707317,637.6585365853658,136.6829268292683
77.0,4,1,313.6131386861314,3.759124087591241,71.5912408759124,688.1678832116788,140.007299270073
77.0,4,2,237.0,2.6666666666666665,66.33333333333333,490.3333333333333,163.0
77.0,4,3,339.0,4.0,63.0,639.0,120.0
77.0,4,4,282.25274725274727,3.2967032967032965,74.61538461538461,624.3516483516484,132.64835164835165
77.0,4,5,218.0,2.8,66.4,590.6,132.0
78.0,1,1,314.81935483870967,3.7806451612903227,73.05806451612904,707.1935483870968,141.47096774193548
78.0,1,2,291.0,3.0,76.0,592.0,172.0
78.0,1,3,323.0,4.0,65.0,621.0,127.0
78.0,1,4,275.6511627906977,3.3255813953488373,76.01162790697674,626.8372093023256,136.72093023255815
78.0,2,1,312.1417322834646,3.7401574803149606,71.55905511811024,694.7322834645669,137.40944881889763
78.0,2,2,312.0,3.0,81.0,588.0,145.0
78.0,2,3,274.5,3.0,71.0,534.5,122.5
78.0,2,4,289.2063492063492,3.5238095238095237,76.28571428571429,650.6031746031746,138.34920634920636
78.0,3,1,308.35849056603774,3.7672955974842766,73.37106918238993,707.8679245283018,137.73584905660377
78.0,3,4,271.5890410958904,3.26027397260274,74.75342465753425,614.1917808219179,134.8904109589041
78.0,3,5,225.33333333333334,3.0,75.66666666666667,763.3333333333334,144.0
78.0,4,1,321.38926174496646,3.87248322147651,72.36912751677852,710.3691275167786,141.46308724832215
78.0,4,2,291.0,3.5,78.0,698.5,152.0
78.0,4,3,314.0,3.75,61.25,532.0,119.0
78.0,4,4,277.29411764705884,3.3529411764705883,74.47058823529412,618.5294117647059,132.88235294117646
78.0,4,5,231.0,3.0,82.0,613.0,83.0
79.0,1,1,320.9155844155844,3.909090909090909,73.93506493506493,715.3441558441558,142.87662337662337
79.0,1,3,314.4,3.8,66.0,621.2,133.6
79.0,1,4,288.0281690140845,3.5211267605633805,78.26760563380282,658.0845070422536,135.6338028169014
79.0,1,5,300.0,3.75,76.75,771.75,151.75
79.0,2,1,310.12857142857143,3.835714285714286,72.19285714285714,712.1571428571428,141.27857142857144
79.0,2,2,299.0,3.3333333333333335,78.33333333333333,657.6666666666666,164.66666666666666
79.0,2,3,313.5,3.5,62.0,521.0,136.0
79.0,2,4,289.9852941176471,3.5441176470588234,76.25,669.0735294117648,142.1764705882353
79.0,2,5,237.5,3.5,94.0,543.0,116.5
79.0,3,1,314.18461538461537,3.8461538461538463,73.51538461538462,711.1307692307693,141.06923076923076
79.0,3,2,266.5,3.0,73.5,554.0,128.0
79.0,3,3,307.0,4.0,68.0,675.5,122.5
79.0,3,4,278.8235294117647,3.338235294117647,77.83823529411765,643.0,135.60294117647058
79.0,3,5,234.33333333333334,2.6666666666666665,82.33333333333333,655.3333333333334,109.33333333333333
79.0,4,1,315.1322314049587,3.7851239669421486,72.0909090909091,699.7438016528926,139.76859504132233
79.0,4,2,444.0,6.0,100.0,961.0,219.0
79.0,4,3,279.0,3.25,68.5,622.0,110.75
79.0,4,4,279.42028985507244,3.5217391304347827,75.04347826086956,655.3478260869565,134.92753623188406
80.0,1,1,321.1870503597122,3.971223021582734,74.88489208633094,721.2589928057554,145.80575539568346
80.0,1,3,318.8,3.6,69.0,630.0,126.0
80.0,1,4,273.219512195122,3.3536585365853657,78.84146341463415,641.8170731707318,138.3048780487805
80.0,1,5,264.0,4.0,90.0,743.0,117.0
80.0,2,1,317.56390977443607,4.037593984962406,73.52631578947368,717.6315789473684,141.1203007518797
80.0,2,3,285.5,3.5,75.0,624.5,117.5
80.0,2,4,268.1604938271605,3.308641975308642,73.64197530864197,627.6666666666666,130.2469135802469
80.0,2,5,234.33333333333334,3.3333333333333335,80.0,819.0,157.0
80.0,3,1,303.53846153846155,3.7482517482517483,74.26573426573427,709.5804195804196,138.8111888111888
80.0,3,2,288.5,3.5,61.5,591.0,126.5
80.0,3,3,285.0,3.5,68.5,617.0,107.5
80.0,3,4,275.9142857142857,3.3714285714285714,79.24285714285715,661.1,134.6
80.0,3,5,221.5,3.0,67.5,545.5,108.0
80.0,4,1,313.06493506493507,3.896103896103896,73.20779220779221,713.2532467532468,141.16233766233765
80.0,4,2,316.0,4.0,62.0,560.0,125.0
80.0,4,3,271.5,3.5,72.5,636.75,120.0
80.0,4,4,280.8142857142857,3.3857142857142857,76.47142857142858,642.0285714285715,138.04285714285714
80.0,4,5,249.0,3.75,84.75,768.5,142.5
81.0,1,1,316.20666666666665,3.94,75.00666666666666,725.2133333333334,143.04
81.0,1,3,297.1111111111111,3.3333333333333335,74.55555555555556,623.7777777777778,132.11111111111111
81.0,1,4,280.1470588235294,3.5,79.54411764705883,660.9117647058823,134.9264705882353
81.0,1,5,189.0,3.0,97.0,740.0,171.0
81.0,2,1,309.8322580645161,3.967741935483871,74.08387096774193,718.2193548387097,141.45806451612904
81.0,2,3,280.3333333333333,3.6666666666666665,74.66666666666667,689.8333333333334,134.83333333333334
81.0,2,4,279.67605633802816,3.507042253521127,78.25352112676056,630.4647887323944,138.25352112676057
81.0,2,5,227.0,3.0,69.0,960.0,180.0
81.0,3,1,311.4569536423841,3.980132450331126,75.98675496688742,729.0993377483444,143.09933774834437
81.0,3,3,267.0,3.25,80.0,656.25,116.75
81.0,3,4,267.76785714285717,3.375,77.25,635.7142857142857,132.91071428571428
81.0,3,5,351.0,5.0,82.0,938.0,102.0
81.0,4,1,318.81290322580645,4.019354838709678,75.28387096774193,726.7096774193549,144.76129032258063
81.0,4,2,363.0,4.0,77.0,455.0,161.0
81.0,4,3,301.4,3.6,69.6,636.7,133.1
81.0,4,4,277.0,3.4776119402985075,77.28358208955224,654.0895522388059,137.43283582089552
81.0,4,5,223.0,3.0,54.0,985.0,207.0
82.0,1,1,317.3308270676692,4.090225563909774,77.19548872180451,744.7744360902255,147.12781954887217
82.0,1,2,262.0,3.0,70.0,483.0,161.0
82.0,1,3,273.5,3.25,75.0,640.75,125.125
82.0,1,4,291.35483870967744,3.6774193548387095,78.83870967741936,673.5967741935484,139.82258064516128
82.0,1,5,253.5,3.25,93.25,703.5,95.75
82.0,2,1,312.92907801418437,4.092198581560283,75.80141843971631,736.2340425531914,141.45390070921985
82.0,2,3,290.4,3.4,75.4,666.0,127.2
82.0,2,4,273.03921568627453,3.450980392156863,79.33333333333333,651.8039215686274,136.3921568627451
82.0,2,5,210.5,1.0,83.5,559.5,107.0
82.0,3,1,307.3525179856115,3.985611510791367,76.10071942446044,734.6115107913669,143.5251798561151
82.0,3,2,306.0,2.0,63.0,390.0,157.0
82.0,3,3,284.2857142857143,3.4285714285714284,76.57142857142857,665.5714285714286,121.28571428571429
82.0,3,4,276.25,3.5833333333333335,78.53333333333333,661.0833333333334,137.76666666666668
82.0,3,5,213.0,2.0,55.0,587.0,106.0
82.0,4,1,314.0131578947368,4.072368421052632,74.625,723.2697368421053,143.86184210526315
82.0,4,3,291.6,3.8,73.4,671.8666666666667,126.46666666666667
82.0,4,4,272.875,3.40625,78.765625,659.671875,139.296875
82.0,4,5,230.5,3.0,94.0,603.5,105.0
83.0,1,1,313.43589743589746,4.038461538461538,77.07051282051282,743.2884615384615,147.84615384615384
83.0,1,3,283.47058823529414,3.588235294117647,76.0,672.1176470588235,123.94117647058823
83.0,1,4,280.0,3.5964912280701755,78.3859649122807,698.8947368421053,138.50877192982455
83.0,1,5,216.66666666666666,3.0,64.66666666666667,684.3333333333334,115.66666666666667
83.0,2,1,309.07086614173227,4.086614173228346,76.66929133858268,740.4645669291339,143.21259842519686
83.0,2,3,282.7,3.5,76.7,703.0,126.1
83.0,2,4,284.9791666666667,3.7083333333333335,80.375,689.5416666666666,134.79166666666666
83.0,2,5,246.0,5.0,68.0,642.0,147.0
83.0,3,1,302.8979591836735,3.9863945578231292,77.59863945578232,743.7006802721088,144.9795918367347
83.0,3,3,285.2857142857143,3.4285714285714284,73.71428571428571,653.2857142857143,132.85714285714286
83.0,3,4,269.921568627451,3.4705882352941178,80.70588235294117,654.0784313725491,136.8235294117647
83.0,4,1,316.97484276729557,4.176100628930818,74.86163522012579,729.1383647798742,145.21383647798743
83.0,4,2,302.0,3.0,72.0,633.0,168.5
83.0,4,3,292.3333333333333,3.7222222222222223,71.94444444444444,660.2777777777778,130.72222222222223
83.0,4,4,272.45098039215685,3.4901960784313726,78.11764705882354,654.1372549019608,133.5686274509804
83.0,4,5,219.5,3.0,76.0,596.5,109.5
84.0,1,1,311.29213483146066,4.123595505617978,78.4438202247191,758.2696629213483,150.3932584269663
84.0,1,3,290.3333333333333,3.888888888888889,74.55555555555556,665.3333333333334,132.22222222222223
84.0,1,4,275.0357142857143,3.5714285714285716,82.55357142857143,671.2321428571429,138.25
84.0,1,5,200.0,3.3333333333333335,71.0,654.6666666666666,136.0
84.0,2,1,309.97333333333336,4.1866666666666665,76.27333333333333,751.4933333333333,144.86
84.0,2,3,292.0,3.6,75.06666666666666,658.0666666666667,130.53333333333333
84.0,2,4,270.2926829268293,3.5365853658536586,78.26829268292683,671.9512195121952,133.3170731707317
84.0,2,5,177.0,3.0,80.0,694.0,162.0
84.0,3,1,309.37908496732024,4.117647058823529,78.44444444444444,754.843137254902,147.50980392156862
84.0,3,3,281.93333333333334,3.7333333333333334,74.8,674.6666666666666,131.13333333333333
84.0,3,4,284.1578947368421,3.7719298245614037,81.03508771929825,697.4912280701755,136.71929824561403
84.0,3,5,170.0,3.0,55.0,820.0,171.0
84.0,4,1,314.6036585365854,4.103658536585366,75.95731707317073,743.469512195122,144.1280487804878
84.0,4,3,279.42857142857144,3.6857142857142855,74.65714285714286,669.0857142857143,127.77142857142857
84.0,4,4,285.9019607843137,3.7058823529411766,80.92156862745098,675.1764705882352,135.76470588235293
84.0,4,5,235.0,4.0,104.0,964.0,186.0
85.0,1,1,311.0514705882353,4.1838235294117645,78.58823529411765,766.9411764705883,147.36029411764707
85.0,1,3,283.36842105263156,3.710526315789474,77.42105263157895,657.3947368421053,129.60526315789474
85.0,1,4,266.3921568627451,3.450980392156863,80.62745098039215,658.5882352941177,142.2549019607843
85.0,2,1,310.96153846153845,4.2384615384615385,77.11538461538461,756.0384615384615,146.2
85.0,2,3,289.3103448275862,3.8275862068965516,77.27586206896552,693.3448275862069,131.6551724137931
85.0,2,4,273.48387096774195,3.6129032258064515,81.54838709677419,684.0967741935484,135.19354838709677
85.0,2,5,323.0,6.0,78.0,857.0,174.0
85.0,3,1,301.9172413793103,4.137931034482759,78.71034482758621,764.9862068965517,147.2
85.0,3,3,284.57894736842104,3.789473684210526,76.21052631578948,668.3157894736842,129.78947368421052
85.0,3,4,285.3404255319149,3.6382978723404253,81.57446808510639,683.9574468085107,143.7872340425532
85.0,3,5,218.0,3.0,75.0,945.0,188.0
85.0,4,1,310.6758620689655,4.206896551724138,77.29655172413793,760.9103448275862,146.87586206896552
85.0,4,2,350.0,4.0,63.0,506.0,122.0
85.0,4,3,285.4878048780488,3.7560975609756095,76.2439024390244,678.7317073170732,129.0731707317073
85.0,4,4,285.625,3.71875,84.15625,687.0625,139.90625
85.0,4,5,194.5,2.5,86.0,662.0,127.5
86.0,1,1,315.41269841269843,4.301587301587301,80.46825396825396,783.484126984127,150.61904761904762
86.0,1,3,280.7826086956522,3.782608695652174,79.54347826086956,695.0652173913044,135.08695652173913
86.0,1,4,291.44444444444446,3.977777777777778,82.95555555555555,750.5555555555555,137.4
86.0,2,1,302.96,4.153333333333333,78.71333333333334,766.74,147.88
86.0,2,3,273.0,3.4814814814814814,77.25925925925925,661.3703703703703,132.59259259259258
86.0,2,4,281.0,3.761904761904762,80.47619047619048,715.9047619047619,138.95238095238096
86.0,3,1,307.2229299363057,4.191082802547771,78.88535031847134,774.7006369426751,150.03821656050957
86.0,3,3,281.88,3.72,76.56,663.68,132.4
86.0,3,4,254.7941176470588,3.323529411764706,83.3529411764706,657.5,134.38235294117646
86.0,3,5,181.0,3.0,82.0,907.0,219.0
86.0,4,1,305.05970149253733,4.149253731343284,78.95522388059702,762.7537313432836,145.58955223880596
86.0,4,2,300.0,7.0,78.0,967.0,152.0
86.0,4,3,283.4901960784314,3.7254901960784315,75.86274509803921,676.9411764705883,130.35294117647058
86.0,4,4,274.6216216216216,3.6486486486486487,80.37837837837837,709.8648648648649,140.86486486486487
87.0,1,1,306.031746031746,4.261904761904762,80.95238095238095,788.4285714285714,151.54761904761904
87.0,1,3,289.5438596491228,3.8421052631578947,78.24561403508773,692.280701754386,133.43859649122808
87.0,1,4,271.0769230769231,3.730769230769231,82.38461538461539,725.3076923076923,132.15384615384616
87.0,2,1,295.46268656716416,4.082089552238806,78.81343283582089,762.4179104477612,146.26865671641792
87.0,2,3,276.79487179487177,3.7435897435897436,76.66666666666667,667.7948717948718,131.2051282051282
87.0,2,4,261.96875,3.625,83.15625,674.9375,135.5
87.0,3,1,297.32835820895525,4.104477611940299,80.58955223880596,769.5820895522388,148.00746268656715
87.0,3,3,273.3018867924528,3.6792452830188678,78.79245283018868,689.0188679245283,131.49056603773585
87.0,3,4,287.3333333333333,3.861111111111111,84.02777777777777,735.3888888888889,141.69444444444446
87.0,3,5,153.0,2.0,87.0,647.0,154.0
87.0,4,1,311.53913043478263,4.304347826086956,79.11304347826086,779.8173913043478,151.91304347826087
87.0,4,3,284.25,3.823529411764706,75.73529411764706,675.5882352941177,132.02941176470588
87.0,4,4,295.9,3.933333333333333,82.36666666666666,734.1666666666666,133.66666666666666
88.0,1,1,302.56363636363636,4.245454545454545,80.99090909090908,779.8727272727273,147.48181818181817
88.0,1,3,278.2470588235294,3.8,79.27058823529411,687.2,132.8470588235294
88.0,1,4,287.56666666666666,3.933333333333333,87.1,724.1333333333333,143.06666666666666
88.0,2,1,302.52666666666664,4.22,79.3,774.9066666666666,149.8
88.0,2,3,268.2463768115942,3.710144927536232,78.8840579710145,691.304347826087,129.94202898550725
88.0,2,4,279.42424242424244,3.878787878787879,85.0,717.5454545454545,132.54545454545453
88.0,3,1,302.0,4.251798561151079,79.9136690647482,789.0647482014389,149.93525179856115
88.0,3,3,272.24074074074076,3.759259259259259,81.11111111111111,704.1296296296297,133.94444444444446
88.0,3,4,273.3636363636364,3.757575757575758,84.87878787878788,714.7272727272727,137.3030303030303
88.0,4,1,307.6521739130435,4.269565217391304,79.4695652173913,779.5130434782609,150.2521739130435
88.0,4,3,286.18888888888887,3.922222222222222,77.5111111111111,696.1111111111111,134.93333333333334
88.0,4,4,271.35714285714283,3.761904761904762,83.88095238095238,697.3095238095239,125.28571428571429
89.0,1,1,302.0520833333333,4.239583333333333,81.64583333333333,807.6458333333334,150.48958333333334
89.0,1,2,328.0,3.0,86.0,384.0,132.0
89.0,1,3,285.1707317073171,4.012195121951219,81.58536585365853,722.9024390243902,131.84146341463415
89.0,1,4,290.48,3.96,85.32,765.2,140.72
89.0,2,1,300.8888888888889,4.277777777777778,80.69047619047619,780.6825396825396,150.11111111111111
89.0,2,3,276.6666666666667,3.873015873015873,80.23809523809524,697.7142857142857,133.87301587301587
89.0,2,4,249.26923076923077,3.3846153846153846,82.76923076923077,662.0384615384615,128.1153846153846
89.0,2,5,170.0,2.0,59.0,471.0,108.0
89.0,3,1,300.8363636363636,4.254545454545455,81.14545454545454,802.290909090909,148.95454545454547
89.0,3,3,281.968253968254,3.984126984126984,80.73015873015873,738.063492063492,137.47619047619048
89.0,3,4,272.64,3.8,84.24,746.8,136.96
89.0,4,1,300.72566371681415,4.238938053097345,79.88495575221239,791.5132743362832,148.76106194690266
89.0,4,3,278.7906976744186,3.895348837209302,79.47674418604652,705.1162790697674,134.1627906976744
89.0,4,4,293.5,4.214285714285714,85.75,776.4642857142857,146.64285714285714
90.0,1,1,307.61607142857144,4.375,82.28571428571429,815.5446428571429,154.99107142857142
90.0,1,3,272.5529411764706,3.8705882352941177,81.76470588235294,714.9529411764706,134.36470588235295
90.0,1,4,288.84615384615387,4.0,84.15384615384616,767.7692307692307,136.69230769230768
90.0,1,5,150.0,2.0,67.0,688.0,192.0
90.0,2,1,296.7596899224806,4.248062015503876,81.03100775193798,785.9147286821706,148.63565891472868
90.0,2,3,278.17910447761193,3.8805970149253732,79.97014925373135,721.2089552238806,133.955223880597
90.0,2,4,287.0357142857143,4.071428571428571,84.78571428571429,728.5357142857143,136.92857142857142
90.0,2,5,209.0,3.5,82.0,583.5,152.0
90.0,3,1,295.4065040650407,4.178861788617886,81.91869918699187,796.5528455284552,148.17073170731706
90.0,3,3,270.5,3.769230769230769,81.88461538461539,716.2435897435897,133.85897435897436
90.0,3,4,269.88,3.84,86.28,739.2,134.6
90.0,3,5,214.0,4.0,67.0,961.0,168.0
90.0,4,1,306.7857142857143,4.410714285714286,80.79464285714286,791.8482142857143,152.63392857142858
90.0,4,2,375.0,3.0,76.0,316.0,112.0
90.0,4,3,278.85820895522386,3.9328358208955225,80.26119402985074,725.3656716417911,135.5597014925373
90.0,4,4,282.3,4.05,85.15,736.3,139.95
91.0,1,1,305.75,4.354166666666667,82.28125,802.3229166666666,151.32291666666666
91.0,1,3,280.55238095238093,3.9714285714285715,82.1047619047619,720.9714285714285,136.89523809523808
91.0,1,4,280.46153846153845,3.9615384615384617,87.76923076923077,774.1538461538462,137.8846153846154
91.0,2,1,298.504347826087,4.3478260869565215,80.91304347826087,807.9391304347826,152.97391304347826
91.0,2,3,279.9625,4.0125,81.725,745.45,135.75
91.0,2,4,288.6190476190476,4.190476190476191,83.57142857142857,763.0952380952381,139.04761904761904
91.0,3,1,295.62105263157895,4.28421052631579,82.6,815.6210526315789,152.52631578947367
91.0,3,3,272.1216216216216,3.9594594594594597,82.43243243243244,738.3378378378378,136.66216216216216
91.0,3,4,287.57894736842104,4.052631578947368,86.47368421052632,741.3684210526316,147.52631578947367
91.0,4,1,306.2926829268293,4.390243902439025,81.82926829268293,808.9024390243902,151.41463414634146
91.0,4,3,277.5416666666667,3.9270833333333335,79.94791666666667,711.84375,135.76041666666666
91.0,4,4,306.93333333333334,4.466666666666667,85.86666666666666,777.8,141.4
92.0,1,1,303.10752688172045,4.462365591397849,83.44086021505376,802.3333333333334,150.5483870967742
92.0,1,3,280.375,4.0234375,82.96875,734.1953125,137.3671875
92.0,1,4,287.0,4.260869565217392,88.43478260869566,796.5652173913044,132.95652173913044
92.0,2,1,298.875,4.3522727272727275,81.9090909090909,810.375,155.10227272727272
92.0,2,3,271.85915492957747,3.915492957746479,82.85915492957747,723.9718309859155,137.07042253521126
92.0,2,4,288.9,4.1,83.6,766.1,141.55
92.0,3,1,292.319587628866,4.278350515463917,83.54639175257732,818.8865979381443,150.0721649484536
92.0,3,3,272.9479166666667,3.9479166666666665,82.80208333333333,727.4479166666666,135.3125
92.0,3,4,293.037037037037,4.111111111111111,87.22222222222223,764.6296296296297,143.5185185185185
92.0,4,1,305.55172413793105,4.367816091954023,82.65517241379311,827.7586206896551,151.49425287356323
92.0,4,3,277.9732142857143,3.982142857142857,81.70535714285714,718.8392857142857,134.77678571428572
92.0,4,4,299.6842105263158,3.9473684210526314,87.42105263157895,779.7368421052631,142.47368421052633
93.0,1,1,301.67469879518075,4.457831325301205,84.09638554216868,823.0481927710844,152.9156626506024
93.0,1,3,286.8556701030928,4.175257731958763,82.91752577319588,755.3814432989691,136.8556701030928
93.0,1,4,284.2,4.133333333333334,88.6,757.8666666666667,143.93333333333334
93.0,2,1,293.76404494382024,4.269662921348314,83.07865168539325,804.8202247191011,148.98876404494382
93.0,2,3,281.7951807228916,4.120481927710843,82.28915662650603,746.9156626506024,137.75903614457832
93.0,2,4,278.06666666666666,4.2,85.73333333333333,758.0,121.93333333333334
93.0,2,5,253.0,4.0,93.0,911.0,140.5
93.0,3,1,294.3333333333333,4.344086021505376,84.18279569892474,819.1935483870968,152.247311827957
93.0,3,3,278.725,3.9875,83.7,760.125,138.95
93.0,3,4,272.70588235294116,4.0,86.41176470588235,736.4117647058823,133.35294117647058
93.0,4,1,304.2878787878788,4.409090909090909,82.48484848484848,821.4848484848485,152.72727272727272
93.0,4,3,281.31666666666666,4.033333333333333,82.1,735.65,134.73333333333332
93.0,4,4,272.8235294117647,3.7058823529411766,86.17647058823529,709.0588235294117,132.88235294117646
93.0,4,5,216.0,4.0,88.0,546.5,131.5
94.0,1,1,298.5660377358491,4.415094339622642,84.13207547169812,816.7358490566038,150.9433962264151
94.0,1,3,278.39130434782606,4.121739130434783,84.33043478260869,756.3565217391305,137.33913043478262
94.0,1,4,278.95,4.15,89.8,758.2,138.7
94.0,2,1,305.5466666666667,4.6,84.44,832.8933333333333,153.65333333333334
94.0,2,3,275.65346534653463,4.00990099009901,84.12871287128714,752.6237623762377,136.06930693069307
94.0,2,4,281.0,4.0,86.5,762.6363636363636,142.5
94.0,3,1,291.5365853658537,4.2682926829268295,84.86585365853658,818.9756097560976,150.8170731707317
94.0,3,3,272.6292134831461,4.101123595505618,84.37078651685393,759.4719101123595,136.1573033707865
94.0,3,4,287.0,4.1875,90.3125,792.3125,139.125
94.0,3,5,242.0,5.0,61.0,739.0,145.0
94.0,4,1,289.0508474576271,4.305084745762712,82.79661016949153,795.5084745762712,149.11864406779662
94.0,4,3,279.6521739130435,4.226086956521739,82.38260869565218,751.1913043478261,138.65217391304347
94.0,4,4,297.11764705882354,4.470588235294118,88.47058823529412,789.1764705882352,149.8235294117647
95.0,1,1,304.30645161290323,4.548387096774194,85.24193548387096,829.9354838709677,157.70967741935485
95.0,1,3,275.9375,4.078125,84.953125,752.3515625,139.546875
95.0,1,4,284.1818181818182,4.0,91.63636363636364,746.5454545454545,139.1818181818182
95.0,1,5,201.0,3.0,74.0,569.0,110.0
95.0,2,1,297.8493150684931,4.52054794520548,84.45205479452055,824.6301369863014,149.82191780821918
95.0,2,3,272.35164835164835,4.054945054945055,84.89010989010988,749.7802197802198,136.75824175824175
95.0,2,4,308.26666666666665,4.533333333333333,90.0,826.4,147.2
95.0,3,1,296.728813559322,4.508474576271187,86.2542372881356,828.5254237288135,154.27118644067798
95.0,3,3,275.32978723404256,4.159574468085107,83.75531914893617,746.9042553191489,137.1595744680851
95.0,3,4,272.7,3.9,88.0,759.3,142.1
95.0,4,1,301.86206896551727,4.413793103448276,84.29310344827586,832.6724137931035,153.1551724137931
95.0,4,3,270.5925925925926,4.111111111111111,83.89814814814815,750.8981481481482,135.89814814814815
95.0,4,4,256.57142857142856,3.642857142857143,85.64285714285714,726.9285714285714,125.07142857142857
95.0,4,5,268.0,4.0,96.0,839.0,145.0
96.0,1,1,288.7692307692308,4.461538461538462,88.25641025641026,842.3846153846154,150.48717948717947
96.0,1,3,278.4469696969697,4.2272727272727275,85.89393939393939,771.6287878787879,139.08333333333334
96.0,1,4,289.25,4.25,87.5,772.625,147.875
96.0,2,1,303.74545454545455,4.581818181818182,84.21818181818182,837.0727272727273,156.63636363636363
96.0,2,3,275.0217391304348,4.173913043478261,84.20652173913044,760.4239130434783,136.8913043478261
96.0,2,4,292.1875,4.5,89.375,838.0,141.5625
96.0,3,1,290.77272727272725,4.378787878787879,86.75757575757575,837.6666666666666,156.25757575757575
96.0,3,3,274.0105263157895,4.136842105263158,86.49473684210527,766.1473684210526,139.03157894736842
96.0,3,4,294.1818181818182,4.545454545454546,91.45454545454545,828.0,153.63636363636363
96.0,4,1,291.2142857142857,4.428571428571429,83.73214285714286,838.0178571428571,155.28571428571428
96.0,4,3,279.109375,4.1796875,84.5546875,756.046875,139.859375
96.0,4,4,288.0,4.3,89.05,781.45,134.2
97.0,1,1,292.35185185185185,4.407407407407407,84.88888888888889,828.074074074074,151.2037037037037
97.0,1,3,281.3119266055046,4.26605504587156,86.4862385321101,783.1100917431193,142.96330275229357
97.0,1,4,301.25,4.416666666666667,92.66666666666667,790.5833333333334,140.08333333333334
97.0,2,1,290.28846153846155,4.5,84.26923076923077,841.5384615384615,154.03846153846155
97.0,2,3,272.5050505050505,4.1313131313131315,84.61616161616162,770.3232323232323,138.989898989899
97.0,2,4,259.8888888888889,4.0,94.44444444444444,774.8888888888889,132.77777777777777
97.0,3,1,300.09302325581393,4.5813953488372094,87.69767441860465,852.6279069767442,160.0
97.0,3,3,272.18,4.23,85.82,779.22,138.75
97.0,3,4,268.54545454545456,4.0,90.81818181818181,746.4545454545455,140.0
97.0,3,5,155.0,3.0,68.0,490.0,186.0
97.0,4,1,295.96078431372547,4.509803921568627,84.80392156862744,849.6862745098039,151.7450980392157
97.0,4,3,277.5086206896552,4.25,84.50862068965517,750.0086206896551,139.8448275862069
97.0,4,4,267.8888888888889,4.0,85.66666666666667,748.2222222222222,132.77777777777777
97.0,4,5,150.0,3.0,77.0,690.0,171.0
98.0,1,1,293.3333333333333,4.380952380952381,87.16666666666667,858.8095238095239,154.95238095238096
98.0,1,3,271.31481481481484,4.231481481481482,87.21296296296296,784.925925925926,141.0185185185185
98.0,1,4,280.7142857142857,4.142857142857143,97.28571428571429,782.4285714285714,152.71428571428572
98.0,2,1,292.88461538461536,4.75,85.11538461538461,850.9038461538462,153.78846153846155
98.0,2,3,273.56666666666666,4.344444444444444,86.57777777777778,789.6222222222223,138.95555555555555
98.0,2,4,262.9,4.2,83.6,756.3,143.4
98.0,3,1,292.38775510204084,4.489795918367347,87.3061224489796,846.0,159.9591836734694
98.0,3,3,272.9075630252101,4.294117647058823,87.3781512605042,784.5378151260504,140.7310924369748
98.0,3,4,262.29411764705884,3.823529411764706,91.23529411764706,764.0,139.7058823529412
98.0,4,1,302.9318181818182,4.7727272727272725,85.06818181818181,860.6136363636364,153.5681818181818
98.0,4,3,272.94166666666666,4.233333333333333,86.31666666666666,776.4,139.575
98.0,4,4,276.09090909090907,4.090909090909091,91.9090909090909,807.0909090909091,140.9090909090909
99.0,1,1,297.0344827586207,4.689655172413793,89.41379310344827,856.9310344827586,154.79310344827587
99.0,1,3,276.967032967033,4.2967032967032965,88.32967032967034,782.5604395604396,145.52747252747253
99.0,1,4,262.0,4.142857142857143,84.85714285714286,789.1428571428571,146.57142857142858
99.0,2,1,296.0,4.666666666666667,86.4047619047619,848.7857142857143,149.11904761904762
99.0,2,3,276.1862745098039,4.284313725490196,86.70588235294117,793.6176470588235,141.65686274509804
99.0,2,4,284.42857142857144,4.571428571428571,87.85714285714286,814.4285714285714,145.0
99.0,3,1,288.6111111111111,4.611111111111111,86.66666666666667,860.8888888888889,162.44444444444446
99.0,3,3,268.27906976744185,4.27906976744186,86.90697674418605,786.3604651162791,139.80232558139534
99.0,3,4,281.2142857142857,4.357142857142857,90.0,828.5,159.42857142857142
99.0,4,1,298.1764705882353,4.705882352941177,86.82352941176471,875.4117647058823,156.02941176470588
99.0,4,3,276.219512195122,4.349593495934959,86.11382113821138,786.959349593496,145.4390243902439
